Rider ID,Country,UCI Team 2010,Rider Name,Price 2010,Score 2010,Gender,UCI Cat 2010,Born,Age 2010,UCI Team 2011,Price 2011,Score 2011,UCI Cat 2011,Age 2011,UCI Team 2012,Price 2012,Score 2012,UCI Cat 2012,Age 2012,UCI Team 2013,Price 2013,Score 2013,UCI Cat 2013,Age 2013,UCI Team 2014,Price 2014,Score 2014,UCI Cat 2014,Age 2014,UCI Team 2015,Price 2015,Score 2015,UCI Cat 2015,Age 2015,UCI Team 2016,Price 2016,Score 2016,UCI Cat 2016,Age 2016,UCI Team 2017,Price 2017,Score 2017,UCI Cat 2017,Age 2017,UCI Team 2018,Price 2018,Score 2018,UCI Cat 2018,Age 2018,UCI Team 2019,Price 2019,Score 2019,UCI Cat 2019,Age 2019,UCI Team 2020,Price 2020,Score 2020,UCI Cat 2020,Age 2020
25,DEN,SAX,Matti Breschel,16.0,840.0,Men,WT,1984.0,26.0,RAB,12.0,90.0,WT,27.0,RAB,10.0,390.0,WT,28.0,TST,8.0,480.0,WT,29.0,TCS,10.0,590.0,WT,30.0,TCS,10.0,440.0,WT,31.0,CPT,6.0,120.0,WT,32.0,AST,2.0,50.0,WT,33.0,EFD,1.0,206.0,WT,34.0,EF1,1.0,0.0,WT,35.0,,,,,
18,RUS,KAT,Alexandr Kolobnev,18.0,815.0,Men,WT,1981.0,29.0,KAT,10.0,355.0,WT,30.0,KAT,4.0,380.0,WT,31.0,KAT,8.0,160.0,WT,32.0,KAT,2.0,160.0,WT,33.0,KAT,2.0,0.0,WT,34.0,ZZZ,1.0,10.0,,35.0,XYZ,1.0,0.0,,36.0,,,,,,,,,,,,,,,
12,RUS,RAB,Denis Menchov,22.0,810.0,Men,WT,1978.0,32.0,GEO,12.0,760.0,PROF,33.0,KAT,8.0,300.0,WT,34.0,KAT,6.0,25.0,WT,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NOR,SKY,Edvald Boasson Hagen,24.0,800.0,Men,WT,1987.0,23.0,SKY,16.0,1339.0,WT,24.0,SKY,20.0,1535.0,WT,25.0,SKY,26.0,487.0,WT,26.0,SKY,18.0,207.0,WT,27.0,MTN,14.0,985.0,PROF,28.0,DDD,20.0,1190.0,WT,29.0,DDD,16.0,1520.0,WT,30.0,DDD,20.0,785.0,WT,31.0,TDD,10.0,408.0,WT,32.0,NTT,4.0,0.0,WT,33.0
63,ESP,SKY,Juan Antonio Flecha,8.0,785.0,Men,WT,1977.0,33.0,SKY,10.0,422.0,WT,34.0,SKY,6.0,657.0,WT,35.0,VCD,12.0,438.0,WT,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,AUS,THR,Michael Rogers,8.0,762.0,Men,WT,1979.0,31.0,SKY,12.0,0.0,WT,32.0,SKY,2.0,840.0,WT,33.0,TST,14.0,284.0,WT,34.0,TCS,6.0,464.0,WT,35.0,TCS,4.0,114.0,WT,36.0,TNK,2.0,0.0,WT,37.0,,,,,,,,,,,,,,,,,,,,
143,BEL,VAC,Björn Leukemans,4.0,760.0,Men,PROF,1977.0,33.0,VCD,10.0,1220.0,WT,34.0,VCD,16.0,360.0,WT,35.0,VCD,12.0,355.0,WT,36.0,WGG,6.0,500.0,PROF,37.0,WGG,8.0,295.0,PROF,38.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,GER,THR,André Greipel,18.0,747.0,Men,WT,1982.0,28.0,OLO,16.0,1120.0,WT,29.0,LTB,14.0,1175.0,WT,30.0,LTB,20.0,1284.0,WT,31.0,LTB,20.0,880.0,WT,32.0,LTS,18.0,1565.0,WT,33.0,LTS,24.0,1246.0,WT,34.0,LTS,18.0,1601.0,WT,35.0,LTS,26.0,651.0,WT,36.0,PCB,6.0,150.0,PROF,37.0,ISN,1.0,0.0,WT,38.0
857,SVK,LIQ,Peter Sagan,1.0,697.0,Men,WT,1990.0,20.0,LIQ,10.0,1382.0,WT,21.0,LIQ,20.0,2556.0,WT,22.0,CAN,32.0,3580.0,WT,23.0,CAN,40.0,2200.0,WT,24.0,TCS,36.0,2699.0,WT,25.0,TNK,32.0,4334.0,WT,26.0,BOH,48.0,2695.0,WT,27.0,BOH,48.0,2805.0,WT,28.0,BOH,40.0,2014.0,WT,29.0,BOH,38.0,0.0,WT,30.0
46,ESP,CTT,Carlos Sastre,12.0,687.0,Men,PROF,,,GEO,6.0,115.0,PROF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,KAZ,AST,Maxim Iglinskiy,6.0,685.0,Men,WT,1981.0,29.0,AST,10.0,0.0,WT,30.0,AST,2.0,665.0,WT,31.0,AST,12.0,405.0,WT,32.0,AST,8.0,0.0,WT,33.0,XYZ,1.0,0.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,
292,ITA,VAC,Marco Marcato,2.0,680.0,Men,PROF,1984.0,26.0,VCD,10.0,940.0,WT,27.0,VCD,12.0,595.0,WT,28.0,VCD,10.0,0.0,WT,29.0,CAN,6.0,10.0,WT,30.0,WGG,1.0,115.0,PROF,31.0,WGG,2.0,125.0,PROF,32.0,UAD,2.0,0.0,WT,33.0,UAD,1.0,30.0,WT,34.0,UAD,1.0,0.0,WT,35.0,UAD,1.0,0.0,WT,36.0
39,ITA,LIQ,Daniele Bennati,12.0,651.0,Men,WT,1980.0,30.0,LEO,8.0,911.0,WT,31.0,RNT,12.0,615.0,WT,32.0,TST,10.0,204.0,WT,33.0,TCS,4.0,120.0,WT,34.0,TCS,2.0,124.0,WT,35.0,TNK,2.0,510.0,WT,36.0,MOV,4.0,150.0,WT,37.0,MOV,1.0,0.0,WT,38.0,MOV,1.0,0.0,WT,39.0,,,,,
19,CZE,LIQ,Roman Kreuziger,18.0,650.0,Men,WT,1986.0,24.0,AST,14.0,775.0,WT,25.0,AST,10.0,791.0,WT,26.0,TST,14.0,974.0,WT,27.0,TCS,16.0,620.0,WT,28.0,TCS,12.0,599.0,WT,29.0,TNK,8.0,640.0,WT,30.0,ORS,8.0,160.0,WT,31.0,MTS,1.0,740.0,WT,32.0,TDD,6.0,75.0,WT,33.0,NTT,1.0,0.0,WT,34.0
40,DEN,SAX,Jakob Fuglsang,12.0,650.0,Men,WT,1985.0,25.0,LEO,10.0,645.0,WT,26.0,RNT,8.0,630.0,WT,27.0,AST,12.0,556.0,WT,28.0,AST,10.0,230.0,WT,29.0,AST,8.0,467.0,WT,30.0,AST,6.0,713.0,WT,31.0,AST,10.0,465.0,WT,32.0,AST,4.0,950.0,WT,33.0,AST,8.0,2421.0,WT,34.0,AST,24.0,0.0,WT,35.0
58,SLO,RSH,Janez Brajkovic,8.0,644.0,Men,WT,1983.0,27.0,RSH,10.0,350.0,WT,28.0,AST,4.0,584.0,WT,29.0,AST,10.0,76.0,WT,30.0,AST,2.0,100.0,WT,31.0,UHC,2.0,80.0,PROF,32.0,UHC,1.0,20.0,PROF,33.0,TBM,1.0,0.0,WT,34.0,ADR,1.0,30.0,CONT,35.0,XYZ,1.0,0.0,,36.0,ADR,1.0,0.0,CONT,37.0
48,AUS,AST,Allan Davis,10.0,580.0,Men,WT,1980.0,30.0,AST,8.0,0.0,WT,31.0,OGE,2.0,440.0,WT,32.0,OGE,8.0,0.0,WT,33.0,XYZ,1.0,0.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,AUS,THR,Matthew Goss,4.0,573.0,Men,WT,1986.0,24.0,THR,12.0,848.0,WT,25.0,OGE,14.0,831.0,WT,26.0,OGE,14.0,126.0,WT,27.0,OGE,6.0,35.0,WT,28.0,MTN,2.0,0.0,PROF,29.0,ONE,1.0,0.0,PROF,30.0,,,,,,,,,,,,,,,,,,,,
101,ESP,GCE,David Arroyo,4.0,570.0,Men,WT,1980.0,30.0,MOV,8.0,110.0,WT,31.0,MOV,2.0,0.0,WT,32.0,CJR,1.0,265.0,PROF,33.0,CJR,6.0,65.0,PROF,34.0,CJR,1.0,159.0,PROF,35.0,CJR,2.0,155.0,PROF,36.0,CJR,2.0,60.0,PROF,37.0,EFP,1.0,0.0,CONT,38.0,XYZ,1.0,0.0,,39.0,,,,,
99,FRA,BBO,Thomas Voeckler,6.0,555.0,Men,PROF,1979.0,31.0,EUC,8.0,1280.0,PROF,32.0,EUC,14.0,1455.0,PROF,33.0,EUC,24.0,435.0,PROF,34.0,EUC,10.0,285.0,WT,35.0,EUC,6.0,140.0,PROF,36.0,DEN,2.0,350.0,PROF,37.0,DEN,4.0,2.0,PROF,38.0,,,,,,,,,,,,,,,
72,SVK,THR,Peter Velits,8.0,551.0,Men,WT,1985.0,25.0,THR,10.0,74.0,WT,26.0,OPQ,8.0,235.0,WT,27.0,OPQ,6.0,225.0,WT,28.0,BMC,4.0,190.0,WT,29.0,BMC,4.0,38.0,WT,30.0,BMC,1.0,0.0,WT,31.0,,,,,,,,,,,,,,,,,,,,
13,ITA,LAM,Damiano Cunego,20.0,550.0,Men,WT,1981.0,29.0,LAM,10.0,996.0,WT,30.0,LAM,14.0,925.0,WT,31.0,LAM,16.0,155.0,WT,32.0,LAM,2.0,325.0,WT,33.0,NIP,6.0,330.0,PROF,34.0,NIP,4.0,240.0,PROF,35.0,NIP,4.0,6.0,PROF,36.0,NIP,1.0,0.0,PROF,37.0,,,,,,,,,,
146,GBR,GRM,David Millar,4.0,550.0,Men,WT,1977.0,33.0,GRM,8.0,513.0,WT,34.0,GRS,8.0,80.0,WT,35.0,GRS,2.0,50.0,WT,36.0,GRS,1.0,0.0,WT,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ITA,THR,Marco Pinotti,8.0,543.0,Men,WT,1976.0,34.0,THR,8.0,303.0,WT,35.0,BMC,4.0,483.0,WT,36.0,BMC,8.0,325.0,WT,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
