	Country 	Trade Team 	Rider 	Born 	Price 	Prev 	Score ↓ 	
129. 	MEX 	XYZ 	Veronica Leal Balderas 	1977 	1 	0 	100 	[+]
130. 	ESP 	XYZ 	Leire Olaberria 	1977 	1 	0 	100 	[+]
131. 	ESP 	BPK 	Anna Ramirez Bauxel 	1981 	1 	0 	100 	[+]
132. 	LTU 	XYZ 	Ausrine Trebaite 	1988 	1 	0 	100 	[+]
133. 	HUN 	XYZ 	Veronika Vormos 	1992 	1 	0 	100 	[+]
134. 	ITA 	ALE 	Tatiana Guderzo 	1984 	20 	1547 	95 	[+]
135. 	ITA 	BPK 	Simona Frapporti 	1988 	1 	78 	95 	[+]
136. 	CAN 	COL 	Laura Brown 	1986 	1 	60 	95 	[+]
137. 	RUS 	XYZ 	Anna Zavershinskaya 	1993 	1 	50 	95 	[+]
138. 	POL 	ALE 	Malgorzata Jasinska 	1984 	1 	45 	95 	[+]
139. 	AUS 	GEW 	Amanda Spratt 	1987 	8 	665 	90 	[+]
140. 	FRA 	FUT 	Charlotte Bravard 	1992 	1 	0 	90 	[+]
141. 	NOR 	END 	Vita Heine 	1984 	1 	0 	85 	[+]
142. 	GER 	XYZ 	Esther Fennel 	1981 	2 	165 	80 	[+]
143. 	CAN 	OPW 	Annie Ewart 	1993 	1 	0 	80 	[+]
144. 	RUS 	XYZ 	Aleksandra Chekina 	1993 	1 	0 	75 	[+]
145. 	NED 	GIW 	Floortje Mackaij 	1995 	1 	0 	75 	[+]
146. 	NED 	XYZ 	Henriette Woering 	1992 	1 	0 	74 	[+]
147. 	AUS 	LBL 	Amy Cure 	1992 	6 	786 	70 	[+]
148. 	ITA 	WHT 	Beatrice Bartelloni 	1993 	1 	0 	70 	[+]
149. 	AUS 	XYZ 	Jenelle Crooks 	1994 	1 	0 	70 	[+]
150. 	FRA 	XYZ 	Severine Eraud 	1995 	1 	0 	70 	[+]
151. 	FRA 	FUT 	Pascale Jeuland 	1987 	2 	220 	65 	[+]
152. 	AUS 	GEW 	Annette Edmondson 	1991 	6 	400 	60 	[+]
153. 	AUS 	GEW 	Carlee Taylor 	1989 	4 	152 	60 	[+]
154. 	FIN 	XYZ 	Sari Saarelainen 	1981 	1 	102 	60 	[+]
155. 	GER 	BCT 	Martina Zwick 	1989 	1 	100 	60 	[+]
156. 	FRA 	LKT 	Fanny Riberot 	1983 	1 	80 	60 	[+]
157. 	NED 	FTZ 	Mascha Pijnenborg 	1981 	2 	35 	60 	[+]
158. 	FRA 	FUT 	Lucie Pader 	1992 	1 	10 	60 	[+]
159. 	LTU 	VAI 	Katarzyna Sosna 	1990 	1 	8 	60 	[+]
160. 	RUS 	XYZ 	Anastasiia Chursina 	1995 	1 	0 	60 	[+]
161. 	CAN 	XYZ 	Annie Foreman Mackey 	1991 	1 	0 	60 	[+]
162. 	CAN 	XYZ 	Kirsti Lay 	1988 	1 	0 	60 	[+]
163. 	AUS 	GEW 	Jessie Maclean 	1985 	1 	0 	60 	[+]
164. 	USA 	EXG 	Abigail Mickey 	1990 	1 	0 	60 	[+]
165. 	AUS 	FUT 	Sarah Roy 	1986 	1 	0 	60 	[+]
166. 	NED 	XYZ 	Mirthe Wagenaar 	1987 	1 	0 	60 	[+]
167. 	JPN 	XYZ 	Eri Yonamine 	1991 	1 	0 	60 	[+]
168. 	NED 	PHV 	Monique van de Ree 	1988 	1 	100 	58 	[+]
169. 	CAN 	TIB 	Anika Todd 	1990 	1 	0 	58 	[+]
170. 	ITA 	BPK 	Silvia Valsecchi 	1982 	1 	28 	55 	[+]
171. 	USA 	EXG 	Alison Tetrick 	1985 	1 	0 	55 	[+]
172. 	CRO 	BTC 	Mia Radotic 	1984 	1 	0 	52 	[+]
173. 	RUS 	RVL 	Alexandra Burchenkova 	1988 	4 	385 	50 	[+]
174. 	USA 	OPW 	Janel Holcomb 	1978 	2 	185 	50 	[+]
175. 	USA 	UHC 	Coryn Rivera 	1992 	4 	140 	50 	[+]
176. 	GBR 	UHC 	Hannah Barnes 	1993 	2 	0 	50 	[+]
177. 	NOR 	HPU 	Miriam Bjornsrud 	1992 	1 	0 	50 	[+]
178. 	CAN 	XYZ 	Justine Clift 	1987 	1 	0 	50 	[+]
179. 	FRA 	XYZ 	Annabelle Dreville 	1995 	1 	0 	50 	[+]
180. 	SUI 	XYZ 	Ramona Forchini 	1994 	1 	0 	50 	[+]
181. 	NOR 	XYZ 	Cecilie S. Johansen 	1989 	1 	0 	50 	[+]
182. 	USA 	OPW 	Maura Kinsella 	1991 	1 	0 	50 	[+]
183. 	SWE 	HPU 	Sara Olsson 	1990 	1 	0 	50 	[+]
184. 	RUS 	XYZ 	Tatiana Shamanova 	1992 	1 	0 	50 	[+]
185. 	RUS 	XYZ 	Elena Utrobina 	1985 	1 	0 	50 	[+]
186. 	BRA 	XYZ 	Uenia Fernandes 	1984 	1 	0 	45 	[+]
187. 	SUI 	BCT 	Nicole Hanselmann 	1991 	1 	0 	45 	[+]
188. 	ITA 	BPK 	Alice Arzuffi 	1994 	1 	0 	42 	[+]
189. 	ITA 	BPK 	Dalia Muccioli 	1993 	2 	114 	40 	[+]
190. 	AUS 	SLU 	Lauren Rowney 	1988 	2 	90 	40 	[+]
191. 	AUS 	XYZ 	Rebecca Wiasak 	1984 	1 	20 	40 	[+]
192. 	NZL 	UHC 	Rushlee Buchanan 	1988 	1 	0 	40 	[+]
193. 	NED 	DLT 	Demi De Jong 	1995 	1 	0 	40 	[+]
194. 	ITA 	EMF 	Arianna Fidanza 	1995 	1 	0 	40 	[+]
195. 	USA 	UHC 	Cari Higgins 	1976 	1 	0 	40 	[+]
196. 	RUS 	SEF 	Marina Likhanov 	1990 	1 	0 	40 	[+]
197. 	UKR 	XYZ 	Olena Sharga 	1986 	1 	0 	40 	[+]
198. 	NED 	XYZ 	Winanda Spoor 	1991 	1 	0 	40 	[+]
199. 	SUI 	XYZ 	Jutta Stienen 	1972 	1 	0 	40 	[+]
200. 	GBR 	BCC 	Sarah Storey 	1978 	1 	0 	40 	[+]
201. 	USA 	UHC 	Lauren Tamayo 	1983 	1 	0 	40 	[+]
202. 	NED 	XYZ 	Iris van der Stelt 	1992 	1 	0 	40 	[+]
203. 	USA 	UHC 	Ruth Winder 	1993 	1 	0 	40 	[+]
204. 	USA 	TIB 	Amanda Miller 	1986 	1 	55 	38 	[+]
205. 	NED 	PHV 	Rozanne Slik 	1991 	1 	0 	38 	[+]
206. 	NED 	PHV 	Nathalie van Gogh 	1974 	1 	0 	33 	[+]
207. 	SLO 	BTC 	Ursa Pintar 	1985 	1 	0 	32 	[+]
208. 	ITA 	TOG 	Francesca Cauz 	1992 	12 	555 	30 	[+]
209. 	NZL 	WHT 	Emily Collins 	1990 	4 	250 	30 	[+]
210. 	NED 	GIW 	Marijn de Vries 	1978 	4 	232 	30 	[+]
211. 	ITA 	EMF 	Giada Borgato 	1989 	2 	30 	30 	[+]
212. 	SWE 	FFT 	Alexandra Nessmar 	1994 	1 	14 	30 	[+]
213. 	VEN 	VAI 	Serika Guluma Ortiz 	1990 	1 	8 	30 	[+]
214. 	RUS 	XYZ 	Larisa Pankova 	1991 	4 	0 	30 	[+]
215. 	ITA 	ALE 	Anna Zita Maria Stricker 	1994 	4 	0 	30 	[+]
216. 	USA 	COL 	Erica Allar 	1985 	1 	0 	30 	[+]
217. 	USA 	XYZ 	Jessica Cutler 	1979 	1 	0 	30 	[+]
218. 	ESP 	BPD 	Irene San Sebastian 	1990 	1 	0 	30 	[+]
219. 	GER 	WHT 	Anna Bianca Schnitzmeier 	1990 	1 	0 	30 	[+]
220. 	GBR 	VPM 	Claire Thomas 	1972 	1 	0 	30 	[+]
221. 	SUI 	TIB 	Patricia Schwager 	1983 	2 	126 	25 	[+]
222. 	USA 	TIB 	Kristabel Doebel-Hickok 	1989 	1 	0 	25 	[+]
223. 	AUS 	XYZ 	Chloe McConville 	1987 	1 	0 	25 	[+]
224. 	CZE 	XYZ 	Tereza Trefna 	1984 	1 	0 	25 	[+]
225. 	BEL 	WET 	Shana Van Glabeke 	1993 	1 	0 	25 	[+]
226. 	ITA 	XYZ 	Elena Valentini 	1992 	1 	0 	21 	[+]
227. 	LTU 	RVL 	Inga Cilvinaite 	1986 	2 	195 	20 	[+]
228. 	NED 	XYZ 	Roos Hoogeboom 	1982 	1 	0 	20 	[+]
229. 	RUS 	RVL 	Maria Savitskaya 	1991 	1 	0 	20 	[+]
230. 	USA 	TIB 	Samantha Schneider 	1990 	1 	0 	20 	[+]
231. 	AUS 	XYZ 	Felicity Wardlaw 	1977 	1 	0 	20 	[+]
232. 	CAN 	XYZ 	Ellen Watters 	1988 	1 	0 	20 	[+]
233. 	NED 	XYZ 	Pauliena Rooijakkers 	1993 	1 	0 	18 	[+]
234. 	USA 	XYZ 	Kendall Ryan 	1992 	1 	0 	18 	[+]
235. 	SUI 	XYZ 	Mirjam Schwager 	1989 	1 	0 	18 	[+]
236. 	UKR 	MIC 	Eivgenia Vysotska 	1975 	2 	270 	15 	[+]
237. 	GER 	WET 	Daniela Gass 	1980 	2 	210 	15 	[+]
238. 	NED 	PHV 	Kirsten Peetoom 	1988 	1 	80 	15 	[+]
239. 	FRA 	FUT 	Manon Souyris 	1993 	1 	20 	15 	[+]
240. 	RUS 	XYZ 	Anna Evseeva 	1988 	1 	15 	15 	[+]
241. 	FRA 	FUT 	Fiona Dutriaux 	1989 	1 	0 	15 	[+]
