"Rank","Country","UCI Team","Rider ID","Rider Name","Price","Score 2016","Score 2017"
151,"NED","HPU",1823,"Ilona Hoeksma",2,250,80
151,"ITA","ASA",3501,"Sofia Beggin",1,0,80
151,"UKR","XYZ",3291,"Olga Shekel",1,0,80
154,"AZE","ASA",2275,"Olena Pavlukhina",4,375,75
155,"ITA","HPU",1488,"Simona Frapporti",1,0,71
156,"BEL","SVE",1931,"Kelly Druyts",2,170,70
156,"BEL","SVE",1929,"Jessy Druyts",1,0,70
156,"CAN","RLW",3001,"Kirsti Lay",1,0,70
156,"ITA","BPK",3915,"Erica Magnaldi",1,0,70
156,"ESP","LTK",3065,"Alba Teruel Ribes",1,0,70
156,"FRA","XYZ",2010,"Aurore Verhoeven",1,0,70
162,"NED","LWD",1818,"Thalita de Jong",8,615,60
162,"ITA","LWK",1655,"Annalisa Cucinotta",2,160,60
162,"ITA","ASA",1596,"Lara Vieceli",1,35,60
162,"ITA","TOG",2366,"Michela Pavin",1,30,60
166,"FRA","FDJ",2309,"Coralie Demay",1,0,58
167,"UKR","PVD",2181,"Hanna Solovey",6,255,55
167,"NED","XYZ",3858,"Danique Braam",1,0,55
169,"GER","SUN",3608,"Liane Lippert",1,60,54
170,"ITA","LWK",2376,"Alice Arzuffi",2,232,50
170,"BEL","LWK",1671,"Kaat Hannes",2,170,50
170,"GBR","WHT",2357,"Lucy van der Haar",1,110,50
170,"GBR","WNT",1507,"Eileen Roe",1,20,50
170,"NOR","HPU",3638,"Katrine Aalerud",1,10,50
170,"NZL","XYZ",3888,"Holly Edmondston",1,0,50
170,"NZL","UHC",3707,"Lauretta Hanson",1,0,50
170,"SUI","XYZ",3862,"Lise-Marie Henzelin",1,0,50
178,"GER","BTC",3236,"Corinna Lechner",1,75,49
179,"ITA","BPK",3486,"Francesca Pattaro",1,85,45
179,"ITA","BPK",1487,"Silvia Valsecchi",1,85,45
179,"NED","TVW",1865,"Claudia Koster",1,20,45
179,"ITA","BPK",3496,"Katia Ragusa",1,10,45
183,"NOR","HPU",2331,"Cecilie Gotaas Johnsen",1,54,41
183,"NOR","HPU",1646,"Thea Thorsen",1,54,41
185,"ITA","MIC",3072,"Francesca Balducci",1,0,40
185,"ITA","MIC",3525,"Anna Ceolini",1,0,40
185,"SWE","XYZ",3851,"Ida Erngren",1,0,40
185,"ESP","LTK",3094,"Alicia Gonzalez Blanco",1,0,40
185,"BEL","LWD",3464,"Sarah Inghelbrecht",1,0,40
185,"USA","XYZ",3890,"Skylar Schneider",1,0,40
185,"POL","XYZ",3104,"Ewelina Szybiak",1,0,40
192,"POL","CPC",1726,"Malgorzata Jasinska",6,553,38
193,"ITA","ALE",1910,"Anna Trevisi",1,18,36
194,"NED","BTC",3911,"Maaike Boogaard",1,0,35
195,"CAN","CPC",1788,"Joelle Numainville",14,1120,30
195,"ITA","DRP",1723,"Susanna Zorzi",2,140,30
195,"ITA","VAI",3498,"Elena Franchi",1,100,30
195,"NED","XYZ",3627,"Marjolein van \'t Geloof",1,40,30
195,"BEL","LWD",1676,"Sofie De Vuyst",1,35,30
195,"NED","WM3",3280,"Jeanne Korevaar",1,7,30
195,"NED","WM3",3509,"Yara Kastelijn",1,5,30
195,"USA","TIB",3700,"Kathryn Buss",1,0,30
195,"RUS","SER",2577,"Kseniya Dobrynina",1,0,30
195,"NED","XYZ",3842,"Melanie Klement",1,0,30
195,"CZE","XYZ",3860,"Katerina Nash",1,0,30
195,"GBR","XYZ",3854,"Emily Nelson",1,0,30
195,"POL","XYZ",4353,"Aurela Nerlo",1,0,30
195,"ITA","TOG",3702,"Nadia Quagliotto",1,0,30
195,"ISR","GSB",3874,"Omer Shapira",1,0,30
210,"ITA","BPK",3575,"Maria Vittoria Sperotto",1,60,25
210,"GBR","WNT",3480,"Kate Archibald",1,0,25
210,"NOR","HPU",2306,"Miriam Bjornsrud",1,0,25
210,"IRL","WNT",3829,"Lydia Boylan",1,0,25
210,"NED","XYZ",3886,"Nancy van der Burg",1,0,25
210,"USA","RLW",3490,"Emma White",1,0,25
210,"USA","XYZ",3836,"Lily Williams",1,0,25
217,"DEN","TVW",3515,"Louise Norman Hansen",1,0,24
218,"AUS","WM3",1808,"Lauren Kitchen",8,644,20
218,"SWE","TVW",1650,"Sara Mustonen",4,230,20
218,"POL","WM3",3004,"Anna Plichta",4,175,20
218,"ESP","BDP",3604,"Margarita Victoria Garcia",2,135,20
218,"CZE","XYZ",3572,"Jarmila Machacova",1,20,20
