Year,Rider ID,Rider Name,Country,UCI Team,UCI Cat,Age,Price,Score
2010,21.0,Filippo Pozzato,ITA,KAT,WT,29.0,18.0,994.0
2011,21.0,Filippo Pozzato,ITA,KAT,WT,30.0,14.0,275.0
2012,21.0,Filippo Pozzato,ITA,FAR,PROF,31.0,8.0,700.0
2013,21.0,Filippo Pozzato,ITA,LAM,WT,32.0,12.0,610.0
2014,21.0,Filippo Pozzato,ITA,LAM,WT,33.0,10.0,235.0
2015,21.0,Filippo Pozzato,ITA,LAM,WT,34.0,4.0,80.0
2016,21.0,Filippo Pozzato,ITA,STH,PROF,35.0,2.0,690.0
2017,21.0,Filippo Pozzato,ITA,WIL,PROF,36.0,6.0,180.0
2018,21.0,Filippo Pozzato,ITA,WIL,PROF,37.0,2.0,0.0
2010,22.0,Lance Armstrong,USA,RSH,WT,,16.0,290.0
2011,22.0,Lance Armstrong,USA,RSH,WT,,6.0,0.0
2010,23.0,Alessandro Ballan,ITA,BMC,PROF,31.0,16.0,120.0
2011,23.0,Alessandro Ballan,ITA,BMC,WT,32.0,6.0,730.0
2012,23.0,Alessandro Ballan,ITA,BMC,WT,33.0,10.0,1152.0
2013,23.0,Alessandro Ballan,ITA,BMC,WT,34.0,2.0,0.0
2014,23.0,Alessandro Ballan,ITA,XYZ,,35.0,1.0,0.0
2015,23.0,Alessandro Ballan,ITA,XYZ,,36.0,1.0,0.0
2016,23.0,Alessandro Ballan,ITA,XYZ,,37.0,1.0,0.0
2010,24.0,Ivan Basso,ITA,LIQ,WT,33.0,16.0,956.0
2011,24.0,Ivan Basso,ITA,LIQ,WT,34.0,16.0,800.0
2012,24.0,Ivan Basso,ITA,LIQ,WT,35.0,10.0,360.0
2013,24.0,Ivan Basso,ITA,CAN,WT,36.0,6.0,230.0
2014,24.0,Ivan Basso,ITA,CAN,WT,37.0,4.0,90.0
2015,24.0,Ivan Basso,ITA,TCS,WT,38.0,2.0,14.0
2010,25.0,Matti Breschel,DEN,SAX,WT,26.0,16.0,840.0
2011,25.0,Matti Breschel,DEN,RAB,WT,27.0,12.0,90.0
2012,25.0,Matti Breschel,DEN,RAB,WT,28.0,10.0,390.0
2013,25.0,Matti Breschel,DEN,TST,WT,29.0,8.0,480.0
2014,25.0,Matti Breschel,DEN,TCS,WT,30.0,10.0,590.0
2015,25.0,Matti Breschel,DEN,TCS,WT,31.0,10.0,440.0
2016,25.0,Matti Breschel,DEN,CPT,WT,32.0,6.0,120.0
2017,25.0,Matti Breschel,DEN,AST,WT,33.0,2.0,50.0
2018,25.0,Matti Breschel,DEN,EFD,WT,34.0,1.0,206.0
2019,25.0,Matti Breschel,DEN,EF1,WT,35.0,1.0,0.0
2010,26.0,Simon Gerrans,AUS,SKY,WT,30.0,16.0,80.0
2011,26.0,Simon Gerrans,AUS,SKY,WT,31.0,4.0,750.0
2012,26.0,Simon Gerrans,AUS,OGE,WT,32.0,10.0,1045.0
2013,26.0,Simon Gerrans,AUS,OGE,WT,33.0,16.0,502.0
2014,26.0,Simon Gerrans,AUS,OGE,WT,34.0,8.0,1530.0
2015,26.0,Simon Gerrans,AUS,OGE,WT,35.0,24.0,283.0
2016,26.0,Simon Gerrans,AUS,OGE,WT,36.0,18.0,101.0
2017,26.0,Simon Gerrans,AUS,ORS,WT,37.0,6.0,175.0
2018,26.0,Simon Gerrans,AUS,BMC,WT,38.0,2.0,63.0
2010,27.0,Levi Leipheimer,USA,RSH,WT,37.0,16.0,270.0
2011,27.0,Levi Leipheimer,USA,RSH,WT,38.0,6.0,935.0
2012,27.0,Levi Leipheimer,USA,OPQ,WT,39.0,10.0,345.0
2013,27.0,Levi Leipheimer,USA,XYZ,,40.0,1.0,0.0
2010,28.0,Tony Martin,GER,THR,WT,25.0,16.0,903.0
2011,28.0,Tony Martin,GER,THR,WT,26.0,16.0,1104.0
2012,28.0,Tony Martin,GER,OPQ,WT,27.0,18.0,1515.0
2013,28.0,Tony Martin,GER,OPQ,WT,28.0,24.0,1175.0
2014,28.0,Tony Martin,GER,OPQ,WT,29.0,18.0,1255.0
2015,28.0,Tony Martin,GER,EQS,WT,30.0,22.0,735.0
2016,28.0,Tony Martin,GER,EQS,WT,31.0,20.0,805.0
2017,28.0,Tony Martin,GER,KAT,WT,32.0,18.0,525.0
2018,28.0,Tony Martin,GER,TKA,WT,33.0,6.0,355.0
2019,28.0,Tony Martin,GER,TJV,WT,34.0,2.0,284.0
2020,28.0,Tony Martin,GER,TJV,WT,35.0,2.0,0.0
2010,29.0,Vincenzo Nibali,ITA,LIQ,WT,26.0,16.0,2221.0
2011,29.0,Vincenzo Nibali,ITA,LIQ,WT,27.0,26.0,1342.0
