	Country 	Trade Team 	Rider 	Born 	Price 	Prev 	Score ↓
122. 	NED 	BPC 	Nathalie van Gogh 	1974 	2 	166 	150
123. 	USA 	SWA 	Flavia Oliveira 	1981 	1 	0 	150
124. 	GER 	XYZ 	Beate Zanner 	1982 	1 	0 	150
125. 	FRA 	DVE 	Severine Eraud 	1995 	1 	0 	148
126. 	AUT 	XYZ 	Anna Kiesenhofer 	1991 	1 	0 	145
127. 	GBR 	BTC 	Hayley Simmonds 	1988 	2 	240 	140
128. 	BEL 	DVE 	Kelly Druyts 	1989 	2 	125 	140
129. 	ITA 	VAL 	Alice Arzuffi 	1994 	1 	85 	140
130. 	NED 	ALE 	Marjolein van 't Geloof 	1996 	4 	350 	130
131. 	ITA 	VAI 	Letizia Borghesi 	1998 	1 	0 	130
132. 	USA 	TIB 	Lauren Stephens 	1986 	1 	0 	130
133. 	DEN 	TVC 	Louise Norman Hansen 	1995 	1 	63 	128
134. 	VIE 	LSL 	Thi That Nguyen 	1993 	4 	210 	125
135. 	ITA 	TOP 	Laura Tomasi 	1999 	1 	60 	125
136. 	RUS 	CGS 	Maria Novolodskaya 	1999 	4 	215 	120
137. 	NED 	BTC 	Maaike Boogaard 	1998 	1 	49 	120
138. 	FRA 	CGS 	Edwige Pitel 	1967 	2 	143 	115
139. 	FRA 	FDJ 	Evita Muzic 	1999 	1 	50 	110
140. 	ITA 	ALE 	Anna Trevisi 	1992 	1 	28 	110
141. 	GBR 	BRO 	Rebecca Durrell 	1988 	1 	0 	110
142. 	USA 	HBS 	Leigh Ann Ganzar 	1989 	1 	0 	110
143. 	BLR 	XYZ 	Hanna Tserah 	1998 	1 	0 	110
144. 	FRA 	FDJ 	Jade Wiel 	2000 	1 	0 	110
145. 	ITA 	XYZ 	Vittoria Bussi 	1987 	1 	60 	105
146. 	AUS 	TIB 	Shannon Malseed 	1994 	2 	157 	101
147. 	ROU 	SBT 	Ana Maria Covrig 	1994 	2 	200 	100
148. 	LAT 	EIC 	Lija Laizane 	1993 	2 	200 	100
149. 	ITA 	ASA 	Elena Pirrone 	1999 	1 	110 	100
150. 	ISR 	CSR 	Roten Gafinovitz 	1992 	1 	100 	100
151. 	EST 	XYZ 	Liisi Rist 	1991 	1 	100 	100
152. 	HKG 	XYZ 	Qian Yu Yang 	1993 	1 	100 	100
153. 	NED 	LSL 	Demi De Jong 	1995 	1 	80 	100
154. 	ITA 	VAI 	Michela Balducci 	1995 	1 	20 	100
155. 	HUN 	HMT 	Veronika Kormos 	1992 	1 	0 	100
156. 	KAZ 	ASA 	Svetlana Pachshenko 	2000 	1 	0 	100
157. 	RUS 	CGS 	Anastasiia Pliaskina 	1996 	1 	0 	100
158. 	BLR 	XYZ 	Tatsiana Sharakova 	1984 	1 	0 	100
159. 	UKR 	ASA 	Olga Shekel 	1994 	1 	0 	100
160. 	KAZ 	ASA 	Makhabbat Umutzhanova 	1994 	1 	0 	100
161. 	GBR 	XYZ 	Jessica Roberts 	1999 	2 	150 	95
162. 	UKR 	SER 	Eivgenia Vysotska 	1975 	2 	185 	90
163. 	SUI 	BIG 	Elise Chabbey 	1993 	1 	0 	90
164. 	AUS 	CSR 	Tiffany Cromwell 	1988 	2 	184 	86
165. 	AUS 	XYZ 	Annette Edmondson 	1991 	2 	92 	80
166. 	NZL 	TFS 	Lauretta Hanson 	1994 	1 	25 	80
167. 	NOR 	TVC 	Emilie Moberg 	1991 	1 	20 	80
168. 	FRA 	XYZ 	Clara Copponi 	1999 	1 	0 	80
169. 	GBR 	T20 	Emma Grant 	1991 	1 	0 	80
170. 	GBR 	BRO 	Anna Henderson 	1998 	1 	0 	80
171. 	NED 	HMT 	Kirstie van Haaften 	1999 	1 	0 	80
172. 	SWE 	XYZ 	Lisa Norden 	1984 	1 	0 	75
173. 	GER 	FDJ 	Charlotte Becker 	1983 	4 	295 	72
174. 	RUS 	CGS 	Olga Zabelinskaya 	1980 	10 	758 	70
175. 	FRA 	DVE 	Pascale Jeuland 	1987 	4 	310 	70
176. 	CAN 	RLW 	Allison Beveridge 	1993 	1 	0 	70
177. 	NED 	XYZ 	Charlotte Kool 	1999 	1 	0 	70
178. 	ESP 	BDU 	Cristina Martinez 	1996 	1 	0 	70
179. 	IRL 	XYZ 	Kelly Murphy 	1989 	1 	0 	70
180. 	POL 	XYZ 	Aurela Nerlo 	1998 	1 	0 	70
181. 	CAN 	RLW 	Sara Bergen 	1988 	2 	175 	65
182. 	COL 	MOV 	Paula Andrea Patino Bedoya 	1997 	1 	95 	65
183. 	NED 	DLT 	Eva Buurman 	1994 	4 	340 	62
184. 	BEL 	JFE 	Kaat Hannes 	1991 	2 	250 	60
185. 	COL 	ASA 	Blanca Liliana Moreno Canchon 	1992 	1 	60 	60
186. 	BEL 	LSL 	Kelly Van Den Steen 	1995 	1 	30 	60
187. 	UKR 	DVE 	Tetyana Riabchenko 	1989 	1 	15 	60
188. 	AUS 	CSR 	Ella Harris 	1998 	1 	0 	60
189. 	FRA 	XYZ 	Aurore Verhoeven 	1990 	1 	0 	60
190. 	NED 	MTS 	Moniek Tenniglo 	1988 	1 	3 	58
191. 	NED 	PHV 	Femke Markus 	1996 	1 	0 	58
192. 	NED 	ALE 	Karlijn Swinkels 	1998 	1 	28 	56
193. 	POL 	XYZ 	Katarzyna Wilkos 	1993 	1 	10 	55
194. 	MEX 	SWA 	Andrea Ramirez 	1999 	1 	0 	55
