"Rank","Country","UCI Team","Rider ID","Rider Name","Price","Score 2009","Score 2010"
179,"ITA","LIQ",789,"Daniel Oss",1,0,150
179,"GER","SKS",956,"Robert Wagner",1,0,150
191,"SLO","VAC",47,"Borut Bozic",10,565,145
191,"GER","BMC",59,"Marcus Burghardt",8,545,145
191,"GBR","SKY",162,"Ben Swift",4,70,145
194,"ITA","KAT",478,"Giampaolo Caruso",1,0,144
195,"FRA","BBO",62,"Pierrick Fedrigo",8,505,140
195,"BLR","LIQ",139,"Aleksandr Kuschynski",4,200,140
195,"POR","RSH",290,"Tiago Machado",2,100,140
195,"ESP","BSP",985,"David Bernabeu",1,0,140
195,"ESP","CMO",946,"Francisco Ventoso",1,0,140
200,"GER","MRM",80,"Linus Gerdemann",6,120,137
201,"BEL","QST",223,"Dries Devenyns",2,50,135
201,"BEL","TSV",497,"Johan Coenen",1,0,135
201,"SUI","BBO",921,"Johann Tschopp",1,0,135
204,"AUS","SKY",126,"Mathew Hayman",4,190,130
204,"FRA","FDJ",124,"Frédéric Guesdon",4,150,130
204,"RUS","VAC",278,"Sergey Lagutin",2,100,130
204,"ESP","GCE",617,"Jose Ivan Gutierrez",1,0,130
204,"BEL","TSV",939,"Kristof Vandewalle",1,0,130
209,"GER","THR",123,"Bert Grabsch",4,332,125
209,"FRA","FDJ",169,"Benoît Vaugrenard",4,210,125
209,"POL","LIQ",188,"Maciej Bodnar",2,100,125
209,"VEN","ISD",349,"Jose Rujano",2,0,125
209,"NED","RAB",567,"Rick Flens",1,0,125
209,"SUI","BMC",757,"Steve Morabito",1,0,125
209,"BEL","LAN",947,"Geert Verheyen",1,0,125
216,"ITA","BMC",23,"Alessandro Ballan",16,210,120
216,"FRA","OLO",323,"Jean-Christophe Peraud",2,80,120
216,"ESP","GCE",554,"Imanol Erviti",1,0,120
216,"DEN","SAX",827,"Alex Rasmussen",1,0,120
220,"BEL","SKS",212,"Dominique Cornu",2,60,115
220,"RUS","KAT",579,"Denis Galimzyanov",1,0,115
222,"FRA","COF",228,"Samuel Dumoulin",2,120,110
222,"SUI","RSH",336,"Grégory Rast",2,82,110
222,"ITA","LIQ",240,"Mauro Finetto",2,10,110
222,"FRA","ALM",453,"Maxime Bouet",1,0,110
222,"ITA","FLM",498,"Daniele Colli",1,0,110
222,"SLO","CMO",672,"Jure Kocjan",1,0,110
222,"ITA","LIQ",861,"Ivan Santaromita",1,0,110
222,"FRA","BBO",922,"Sebastien Turgot",1,0,110
222,"GER","MRM",955,"Paul Voss",1,0,110
231,"ESP","EUS",324,"Ruben Perez",2,110,105
