	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓ 	
127. 	ARG 	EQS 	WT 	Maximiliano Richeze 	1983 	1 	30 	420 	[+]
128. 	ITA 	LAM 	WT 	Sacha Modolo 	1987 	6 	500 	415 	[+]
129. 	RUS 	GAZ 	PROF 	Sergey Firsanov 	1982 	2 	125 	410 	[+]
130. 	ITA 	TFS 	WT 	Niccolo Bonifazio 	1993 	8 	595 	400 	[+]
131. 	NED 	CPT 	WT 	Dylan van Baarle 	1992 	4 	311 	400 	[+]
132. 	BEL 	WGG 	PROF 	Roy Jans 	1990 	8 	590 	395 	[+]
133. 	USA 	BMC 	WT 	Tejay van Garderen 	1988 	18 	402 	394 	[+]
134. 	NED 	TLJ 	WT 	Robert Gesink 	1986 	10 	670 	390 	[+]
135. 	ITA 	DDD 	WT 	Kristian Sbaragli 	1990 	6 	424 	390 	[+]
136. 	BLR 	DDD 	WT 	Kanstantsin Siutsou 	1982 	1 	58 	385 	[+]
137. 	CRC 	MOV 	WT 	Andrey Amador 	1986 	6 	452 	380 	[+]
138. 	ITA 	CPT 	WT 	Moreno Moser 	1990 	4 	201 	380 	[+]
139. 	BEL 	LTS 	WT 	Thomas De Gendt 	1986 	2 	100 	380 	[+]
140. 	ESP 	AST 	WT 	Luis Leon Sanchez 	1983 	2 	95 	376 	[+]
141. 	ESP 	CJR 	PROF 	Pello Bilbao 	1990 	2 	159 	375 	[+]
142. 	GBR 	FVC 	PROF 	Daniel McLay 	1992 	1 	50 	375 	[+]
143. 	RUS 	KAT 	WT 	Vyacheslav Kuznetsov 	1989 	2 	116 	370 	[+]
144. 	ESP 	SKY 	WT 	Mikel Landa 	1989 	22 	997 	366 	[+]
145. 	BEL 	WGG 	PROF 	Dimitri Claeys 	1987 	2 	265 	365 	[+]
146. 	ESP 	MOV 	WT 	Imanol Erviti 	1983 	1 	7 	358 	[+]
147. 	BEL 	TLJ 	WT 	Victor Campenaerts 	1991 	4 	243 	355 	[+]
148. 	KAZ 	AST 	WT 	Alexey Lutsenko 	1992 	4 	230 	355 	[+]
149. 	FRA 	DEN 	PROF 	Thomas Voeckler 	1979 	2 	140 	350 	[+]
150. 	COL 	AND 	PROF 	Rodolfo Torres 	1987 	1 	90 	350 	[+]
151. 	NED 	ROP 	PROF 	Pieter Weening 	1981 	1 	76 	350 	[+]
152. 	NZL 	TLJ 	WT 	George Bennett 	1990 	1 	24 	350 	[+]
153. 	AUS 	OGE 	WT 	Mathew Hayman 	1978 	1 	7 	350 	[+]
154. 	NED 	CPT 	WT 	Tom Jelte Slagter 	1989 	8 	630 	345 	[+]
155. 	FRA 	AUB 	CONT 	Romain Feillu 	1984 	1 	95 	345 	[+]
156. 	RUS 	KAT 	WT 	Sergey Chernetskiy 	1990 	1 	58 	345 	[+]
157. 	FRA 	FDJ 	WT 	Alexandre Geniez 	1988 	8 	558 	342 	[+]
158. 	ESP 	SKY 	WT 	Mikel Nieve 	1984 	10 	704 	340 	[+]
159. 	SUI 	IAM 	WT 	Reto Hollenstein 	1985 	1 	69 	340 	[+]
160. 	BEL 	LTS 	WT 	Sean De Bie 	1991 	4 	250 	330 	[+]
161. 	AUS 	DDD 	WT 	Nathan Haas 	1989 	2 	130 	330 	[+]
162. 	GER 	KAT 	WT 	Nils Politt 	1994 	1 	50 	330 	[+]
163. 	FRA 	COF 	PROF 	Anthony Turgis 	1994 	1 	30 	330 	[+]
164. 	ITA 	UNI 	CONT 	Mauro Finetto 	1985 	4 	280 	327 	[+]
165. 	ESP 	MOV 	WT 	Ruben Fernandez 	1991 	1 	74 	323 	[+]
166. 	CZE 	SKY 	WT 	Leopold König 	1987 	6 	419 	320 	[+]
167. 	FRA 	DEN 	PROF 	Sylvain Chavanel 	1979 	6 	165 	320 	[+]
168. 	FRA 	DEN 	PROF 	Adrien Petit 	1990 	1 	50 	320 	[+]
169. 	USA 	BMC 	WT 	Joey Rosskopf 	1989 	1 	26 	320 	[+]
170. 	ITA 	KAT 	WT 	Jacopo Guarnieri 	1987 	1 	25 	315 	[+]
