Rider ID,Country,UCI Team 2012,Rider Name,Price 2012,Score 2012,Gender,Born,Age 2012,UCI Team 2013,Price 2013,Score 2013,Age 2013,UCI Team 2014,Price 2014,Score 2014,Age 2014,UCI Team 2015,Price 2015,Score 2015,Age 2015,UCI Team 2016,Price 2016,Score 2016,Age 2016,UCI Team 2017,Price 2017,Score 2017,Age 2017,UCI Team 2018,Price 2018,Score 2018,Age 2018,UCI Team 2019,Price 2019,Score 2019,Age 2019,UCI Team 2020,Price 2020,Score 2020,Age 2020
3539,USA,,Chloe Dygert-Owen,,,Women,1997.0,,,,,,,,,,,,,,T16,1.0,233.0,19.0,T20,4.0,250.0,20.0,T20,6.0,145.0,21.0,T20,6.0,1220.0,22.0,T20,20.0,0.0,23.0
3615,NED,,Femke Van Kessel,,,Women,1989.0,,,,,,,,,,,,,,XYZ,1.0,200.0,27.0,XYZ,2.0,0.0,28.0,XYZ,1.0,0.0,29.0,,,,,,,,
3578,USA,,Leah Thomas,,,Women,1989.0,,,,,,,,,,,,,,T16,1.0,193.0,27.0,T20,3.0,300.0,28.0,UHC,4.0,815.0,29.0,BIG,10.0,715.0,30.0,BIG,8.0,0.0,31.0
3634,AUT,,Anna Kiesenhofer,,,Women,1991.0,,,,,,,,,,,,,,XYZ,1.0,165.0,25.0,LSL,2.0,0.0,26.0,XYZ,1.0,0.0,27.0,XYZ,1.0,145.0,28.0,XYZ,2.0,0.0,29.0
3616,GER,,Katharina Venjakob,,,Women,1989.0,,,,,,,,,,,,,,XYZ,1.0,160.0,27.0,XYZ,2.0,0.0,28.0,XYZ,1.0,0.0,29.0,,,,,,,,
3604,ESP,,Margarita Victoria Garcia,,,Women,1984.0,,,,,,,,,,,,,,BPD,1.0,135.0,32.0,BDP,2.0,20.0,33.0,MOV,1.0,631.0,34.0,MOV,8.0,964.0,35.0,ALE,12.0,0.0,36.0
3458,GBR,,Nikki Harris,,,Women,1986.0,,,,,,,,,,,,,,DLT,1.0,108.0,30.0,DLT,1.0,16.0,31.0,XYZ,1.0,0.0,32.0,XYZ,1.0,0.0,33.0,,,,
3585,CAN,,Sara Bergen,,,Women,1988.0,,,,,,,,,,,,,,XYZ,1.0,100.0,28.0,RLW,1.0,15.0,29.0,RLW,1.0,175.0,30.0,RLW,2.0,65.0,31.0,RLW,1.0,0.0,32.0
3498,ITA,,Elena Franchi,,,Women,1996.0,,,,,,,,,,,,,,VAI,1.0,100.0,20.0,VAI,1.0,30.0,21.0,CZF,1.0,0.0,22.0,SBT,1.0,45.0,23.0,SBT,1.0,0.0,24.0
3457,HUN,,Monika Kiraly,,,Women,1983.0,,,,,,,,,,,,,,MIC,1.0,100.0,33.0,MIC,1.0,190.0,34.0,MIC,2.0,0.0,35.0,SER,1.0,0.0,36.0,SER,1.0,0.0,37.0
3460,KAZ,,Natalya Saifutdinova,,,Women,1989.0,,,,,,,,,,,,,,ASA,1.0,100.0,27.0,ASA,1.0,0.0,28.0,ASA,1.0,100.0,29.0,ASA,1.0,0.0,30.0,ASA,1.0,0.0,31.0
3517,SVK,,Lucia Valachova,,,Women,1997.0,,,,,,,,,,,,,,NOE,1.0,100.0,19.0,XYZ,1.0,0.0,20.0,XYZ,1.0,0.0,21.0,,,,,,,,
3499,KAZ,,Yekaterina Yuraitis,,,Women,1996.0,,,,,,,,,,,,,,ASA,1.0,100.0,20.0,XYZ,1.0,0.0,21.0,XYZ,1.0,0.0,22.0,,,,,,,,
3551,USA,,Allie Dragoo,,,Women,1989.0,,,,,,,,,,,,,,T16,1.0,93.0,27.0,CBT,1.0,5.0,28.0,T20,1.0,0.0,29.0,T20,1.0,0.0,30.0,XYZ,1.0,0.0,31.0
3617,AUS,,Kirsten howard,,,Women,1988.0,,,,,,,,,,,,,,XYZ,1.0,90.0,28.0,XYZ,1.0,0.0,29.0,MVC,1.0,0.0,30.0,XYZ,1.0,0.0,31.0,,,,
3552,GBR,,Alice Barnes,,,Women,1995.0,,,,,,,,,,,,,,XYZ,1.0,85.0,21.0,DRP,1.0,610.0,22.0,CSR,8.0,321.0,23.0,CSR,4.0,705.0,24.0,CSR,10.0,0.0,25.0
3486,ITA,,Francesca Pattaro,,,Women,1995.0,,,,,,,,,,,,,,BPK,1.0,85.0,21.0,BPK,1.0,45.0,22.0,BPK,1.0,25.0,23.0,BPK,1.0,0.0,24.0,ASA,1.0,0.0,25.0
3618,GER,,Stefanie Paul,,,Women,1986.0,,,,,,,,,,,,,,XYZ,1.0,80.0,30.0,XYZ,1.0,0.0,31.0,XYZ,1.0,0.0,32.0,,,,,,,,
3619,AUS,,Erin Kinnealy,,,Women,1984.0,,,,,,,,,,,,,,XYZ,1.0,70.0,32.0,XYZ,1.0,0.0,33.0,XYZ,1.0,0.0,34.0,,,,,,,,
3468,COL,,Diana Carolina Penuela Martinez,,,Women,1986.0,,,,,,,,,,,,,,UHC,1.0,70.0,30.0,UHC,1.0,0.0,31.0,UHC,1.0,145.0,32.0,ALE,2.0,16.0,33.0,TIB,1.0,0.0,34.0
3495,ITA,,Sofia Bertizzolo,,,Women,1997.0,,,,,,,,,,,,,,ASA,1.0,65.0,19.0,ASA,1.0,190.0,20.0,ASA,2.0,580.0,21.0,TVC,8.0,280.0,22.0,CCC,4.0,0.0,23.0
